lcd_id,lcd_version,contractor_id,contractor_type_id,contractor_version,last_updated
33428,53,375,13,1,2021-07-23 13:55:57.220000
33428,53,376,13,1,2021-07-23 13:55:57.220000
33428,53,377,13,1,2021-07-23 13:55:57.220000
33428,53,378,13,1,2021-07-23 13:55:57.220000
33428,53,379,13,1,2021-07-23 13:55:57.220000
33428,53,380,13,1,2021-07-23 13:55:57.220000
33428,53,381,13,1,2021-07-23 13:55:57.220000
33428,53,391,12,1,2021-07-23 13:55:57.220000
33428,53,392,12,1,2021-07-23 13:55:57.220000
33428,53,393,12,1,2021-07-23 13:55:57.220000
33428,53,394,12,1,2021-07-23 13:55:57.220000
33428,53,395,12,1,2021-07-23 13:55:57.220000
33428,53,396,12,1,2021-07-23 13:55:57.220000
33431,59,378,13,1,2025-09-12 14:31:46.247000
33431,59,379,13,1,2025-09-12 14:31:46.247000
33431,59,380,13,1,2025-09-12 14:31:46.247000
33431,59,381,13,1,2025-09-12 14:31:46.247000
33431,59,394,12,1,2025-09-12 14:31:46.247000
33431,59,395,12,1,2025-09-12 14:31:46.247000
33431,59,396,12,1,2025-09-12 14:31:46.247000
33436,38,378,13,1,2023-11-10 13:33:12.917000
33436,38,379,13,1,2023-11-10 13:33:12.917000
33436,38,380,13,1,2023-11-10 13:33:12.917000
33436,38,381,13,1,2023-11-10 13:33:12.917000
33436,38,394,12,1,2023-11-10 13:33:12.917000
33436,38,395,12,1,2023-11-10 13:33:12.917000
33436,38,396,12,1,2023-11-10 13:33:12.917000
33438,47,378,13,1,2024-07-12 13:09:21.303000
33438,47,379,13,1,2024-07-12 13:09:21.303000
33438,47,380,13,1,2024-07-12 13:09:21.303000
33438,47,381,13,1,2024-07-12 13:09:21.303000
33438,47,394,12,1,2024-07-12 13:09:21.303000
33438,47,395,12,1,2024-07-12 13:09:21.303000
33438,47,396,12,1,2024-07-12 13:09:21.303000
33444,42,378,13,1,2024-12-23 14:14:07.780000
33444,42,379,13,1,2024-12-23 14:14:07.780000
33444,42,380,13,1,2024-12-23 14:14:07.780000
33444,42,381,13,1,2024-12-23 14:14:07.780000
33444,42,394,12,1,2024-12-23 14:14:07.780000
33444,42,395,12,1,2024-12-23 14:14:07.780000
33444,42,396,12,1,2024-12-23 14:14:07.780000
33445,79,374,13,1,2025-10-17 13:31:43.953000
33445,79,375,13,1,2025-10-17 13:31:43.953000
33445,79,376,13,1,2025-10-17 13:31:43.953000
33445,79,377,13,1,2025-10-17 13:31:43.953000
33445,79,378,13,1,2025-10-17 13:31:43.953000
33445,79,379,13,1,2025-10-17 13:31:43.953000
33445,79,380,13,1,2025-10-17 13:31:43.953000
33445,79,381,13,1,2025-10-17 13:31:43.953000
33445,79,391,12,1,2025-10-17 13:31:43.953000
33445,79,392,12,1,2025-10-17 13:31:43.953000
33445,79,393,12,1,2025-10-17 13:31:43.953000
33445,79,394,12,1,2025-10-17 13:31:43.953000
33445,79,395,12,1,2025-10-17 13:31:43.953000
33445,79,396,12,1,2025-10-17 13:31:43.953000
33446,47,378,13,1,2021-06-18 14:58:02.380000
33446,47,379,13,1,2021-06-18 14:58:02.380000
33446,47,380,13,1,2021-06-18 14:58:02.380000
33446,47,381,13,1,2021-06-18 14:58:02.380000
33446,47,394,12,1,2021-06-18 14:58:02.380000
33446,47,395,12,1,2021-06-18 14:58:02.380000
33446,47,396,12,1,2021-06-18 14:58:02.380000
33447,48,378,13,1,2024-09-10 13:47:08.327000
33447,48,379,13,1,2024-09-10 13:47:08.327000
33447,48,380,13,1,2024-09-10 13:47:08.327000
33447,48,381,13,1,2024-09-10 13:47:08.327000
33447,48,394,12,1,2024-09-10 13:47:08.327000
33447,48,395,12,1,2024-09-10 13:47:08.327000
33447,48,396,12,1,2024-09-10 13:47:08.327000
33449,36,378,13,1,2019-11-09 15:55:38.667000
33449,36,379,13,1,2019-11-09 15:55:38.667000
33449,36,380,13,1,2019-11-09 15:55:38.667000
33449,36,381,13,1,2019-11-09 15:55:38.667000
33449,36,394,12,1,2019-11-09 15:55:38.667000
