lcd_id,lcd_version,state_id,last_updated
33942,50,8,2026-07-27 16:19:17.017000
33942,50,10,2026-07-27 16:19:17.017000
33942,50,11,2026-07-27 16:19:17.017000
33942,50,17,2026-07-27 16:19:17.017000
33942,50,21,2026-07-27 16:19:17.017000
33942,50,25,2026-07-27 16:19:17.017000
33942,50,29,2026-07-27 16:19:17.017000
33942,50,32,2026-07-27 16:19:17.017000
33942,50,35,2026-07-27 16:19:17.017000
33942,50,36,2026-07-27 16:19:17.017000
33942,50,45,2026-07-27 16:19:17.017000
33942,50,49,2026-07-27 16:19:17.017000
33942,50,52,2026-07-27 16:19:17.017000
33942,50,53,2026-07-27 16:19:17.017000
33942,50,58,2026-07-27 16:19:17.017000
33942,50,59,2026-07-27 16:19:17.017000
34538,21,8,2026-07-27 16:12:29.337000
34538,21,10,2026-07-27 16:12:29.337000
34538,21,11,2026-07-27 16:12:29.337000
34538,21,17,2026-07-27 16:12:29.337000
34538,21,21,2026-07-27 16:12:29.337000
34538,21,25,2026-07-27 16:12:29.337000
34538,21,29,2026-07-27 16:12:29.337000
34538,21,32,2026-07-27 16:12:29.337000
34538,21,35,2026-07-27 16:12:29.337000
34538,21,36,2026-07-27 16:12:29.337000
34538,21,45,2026-07-27 16:12:29.337000
34538,21,49,2026-07-27 16:12:29.337000
34538,21,52,2026-07-27 16:12:29.337000
34538,21,53,2026-07-27 16:12:29.337000
34538,21,58,2026-07-27 16:12:29.337000
34538,21,59,2026-07-27 16:12:29.337000
34544,47,2,2024-07-23 15:47:04.930000
34544,47,3,2024-07-23 15:47:04.930000
34544,47,12,2024-07-23 15:47:04.930000
34544,47,14,2024-07-23 15:47:04.930000
34544,47,19,2024-07-23 15:47:04.930000
34544,47,20,2024-07-23 15:47:04.930000
34544,47,22,2024-07-23 15:47:04.930000
34544,47,23,2024-07-23 15:47:04.930000
34544,47,31,2024-07-23 15:47:04.930000
34544,47,34,2024-07-23 15:47:04.930000
34544,47,39,2024-07-23 15:47:04.930000
34544,47,42,2024-07-23 15:47:04.930000
34544,47,43,2024-07-23 15:47:04.930000
34544,47,48,2024-07-23 15:47:04.930000
34544,47,50,2024-07-23 15:47:04.930000
34544,47,51,2024-07-23 15:47:04.930000
34547,40,2,2024-11-06 19:24:38.180000
