lcd_id,lcd_version,related_num,r_ncd_id,r_ncd_version,last_updated
33802,35,4,354,1,2025-04-29 23:04:18.250000
33802,35,5,273,1,2025-04-29 23:04:18.250000
33803,47,1,0,1,2025-04-29 23:04:18.250000
33803,53,1,0,1,2025-10-28 22:10:08.837000
33803,57,1,0,1,2025-10-28 22:10:08.837000
33803,61,1,0,1,2025-10-28 22:10:08.837000
33813,15,1,0,1,2025-04-29 23:04:16.700000
33818,15,1,0,1,2025-04-29 23:04:16.700000
33820,21,1,190,1,2025-04-29 23:04:18.253000
33820,21,2,227,1,2025-04-29 23:04:18.253000
33821,28,1,0,1,2025-04-29 23:04:18.257000
33822,70,1,222,1,2025-04-29 23:04:18.257000
33822,70,2,190,1,2025-04-29 23:04:18.260000
33823,26,1,190,1,2025-04-29 23:04:18.260000
33824,42,1,0,1,2025-04-29 23:04:18.267000
33824,46,1,0,1,2025-04-29 23:04:18.267000
33824,51,1,0,1,2025-04-29 23:04:18.267000
33824,56,1,0,1,2025-04-29 23:04:18.267000
33825,17,1,315,1,2025-04-29 23:04:18.267000
33825,17,2,190,1,2025-04-29 23:04:18.267000
33826,20,1,0,1,2025-04-29 23:04:18.270000
33826,22,1,0,1,2025-04-29 23:04:18.270000
33827,50,1,309,1,2025-04-29 23:04:18.270000
33827,55,1,309,1,2025-04-29 23:04:18.270000
33828,27,1,0,1,2025-04-29 23:04:18.270000
33830,22,1,190,1,2025-04-29 23:04:18.273000
33831,48,1,47,1,2025-04-29 23:04:18.273000
33831,48,2,139,1,2025-04-29 23:04:18.277000
33832,18,1,0,1,2025-04-29 23:04:18.277000
33832,20,1,0,1,2025-04-29 23:04:18.277000
33833,20,1,0,1,2025-04-29 23:04:16.703000
33833,26,1,0,1,2025-04-29 23:04:16.710000
33906,59,1,0,1,2025-04-29 23:04:16.710000
33906,69,1,0,1,2025-04-29 23:04:16.710000
33906,75,1,0,1,2025-04-29 23:04:16.710000
33907,15,1,181,1,2025-04-29 23:04:16.710000
33907,16,1,181,1,2025-04-29 23:04:16.710000
33912,16,1,0,1,2025-04-29 23:04:16.713000
33912,23,1,0,1,2026-05-13 18:46:07.220000
33922,12,1,0,1,2025-04-29 23:04:16.713000
33923,14,1,0,1,2025-04-29 23:04:16.717000
33930,49,1,11,1,2025-04-29 23:04:16.717000
33930,49,2,15,1,2025-04-29 23:04:16.720000
33930,49,3,176,1,2025-04-29 23:04:16.720000
33933,30,1,0,1,2025-04-29 23:04:16.720000
33937,18,1,0,1,2025-04-29 23:04:16.723000
33941,23,1,171,1,2025-04-29 23:04:16.723000
33942,48,1,41,1,2025-04-29 23:04:19.293000
33942,48,2,315,1,2025-04-29 23:04:19.297000
33942,48,3,58,1,2025-04-29 23:04:19.297000
33942,48,4,88,1,2025-04-29 23:04:19.300000
33942,48,5,131,1,2025-04-29 23:04:19.300000
33942,48,6,219,1,2025-04-29 23:04:19.300000
33942,49,1,41,1,2025-04-29 23:04:19.293000
33942,49,2,315,1,2025-04-29 23:04:19.297000
33942,49,3,58,1,2025-04-29 23:04:19.297000
33942,49,4,88,1,2025-04-29 23:04:19.300000
33942,49,5,131,1,2025-04-29 23:04:19.300000
33942,49,6,219,1,2025-04-29 23:04:19.300000
33942,50,1,41,1,2025-04-29 23:04:19.293000
33942,50,2,315,1,2025-04-29 23:04:19.297000
33942,50,3,58,1,2025-04-29 23:04:19.297000
33942,50,4,88,1,2025-04-29 23:04:19.300000
33942,50,5,131,1,2025-04-29 23:04:19.300000
33942,50,6,219,1,2025-04-29 23:04:19.300000
33943,23,1,0,1,2025-04-29 23:04:19.303000
33943,24,1,0,1,2025-04-29 23:04:19.303000
33944,26,1,0,1,2025-04-29 23:04:19.303000
33944,27,1,0,1,2025-04-29 23:04:19.303000
33945,20,1,0,1,2025-04-29 23:04:19.307000
33945,21,1,0,1,2025-04-29 23:04:19.307000
33946,16,1,69,1,2025-04-29 23:04:19.307000
33946,17,1,69,1,2025-04-29 23:04:19.307000
33947,23,1,176,1,2025-04-29 23:04:19.310000
33947,24,1,176,1,2025-04-29 23:04:19.310000
33947,25,1,176,1,2025-04-29 23:04:19.310000
33949,25,1,0,1,2025-04-29 23:04:19.310000
33949,26,1,0,1,2025-04-29 23:04:19.310000
33950,37,1,186,1,2025-04-29 23:04:19.313000
33950,37,2,263,1,2025-04-29 23:04:19.313000
33950,38,1,186,1,2025-04-29 23:04:19.313000
33950,38,2,263,1,2025-04-29 23:04:19.313000
33952,18,1,179,1,2025-04-29 23:04:19.317000
33952,19,1,179,1,2025-04-29 23:04:19.317000
33952,20,1,179,1,2025-04-29 23:04:19.317000
33954,26,1,60,1,2025-04-29 23:04:19.317000
33954,26,2,213,1,2025-04-29 23:04:19.320000
33954,26,3,9,1,2025-04-29 23:04:19.320000
33958,14,1,200,1,2025-04-29 23:04:16.727000
33959,35,1,0,1,2025-04-29 23:04:19.320000
33959,36,1,0,1,2025-04-29 23:04:19.320000
33960,26,1,0,1,2025-04-29 23:04:19.323000
33960,27,1,0,1,2025-04-29 23:04:19.323000
33966,18,1,0,1,2025-04-29 23:04:16.727000
33967,25,1,135,1,2025-04-29 23:04:16.730000
33975,25,1,26,1,2025-04-29 23:04:16.730000
33977,18,1,165,1,2025-04-29 23:04:16.733000
33977,18,2,212,1,2025-04-29 23:04:16.733000
